"type","ref","group","name","version"
"LIBRARY","pkg:deb",,"liblz4-1","1.9.4-1build1.1"
"LIBRARY","pkg:deb",,"liblzma5","5.6.1+really5.4.5-1build0.1"
"LIBRARY","pkg:deb",,"libmd0","1.1.0-2build1"
"LIBRARY","pkg:deb",,"libmount1","2.39.3-9ubuntu6.1"
"LIBRARY","pkg:deb",,"libncursesw6","6.4+20240113-1ubuntu2"
"LIBRARY","pkg:deb",,"libnettle8t64","3.9.1-2.2build1.1"
"LIBRARY","pkg:deb",,"libnghttp2-14","1.59.0-1ubuntu0.1"
"LIBRARY","pkg:deb",,"libnpth0t64","1.6-3.1build1"
"LIBRARY","pkg:deb",,"libp11-kit0","0.25.3-4ubuntu2.1"
"LIBRARY","pkg:deb",,"libpam-modules","1.5.3-5ubuntu5.1"
"LIBRARY","pkg:deb",,"libpam-modules-bin","1.5.3-5ubuntu5.1"
"LIBRARY","pkg:deb",,"libpam-runtime","1.5.3-5ubuntu5.1"
"LIBRARY","pkg:deb",,"libpam0g","1.5.3-5ubuntu5.1"
"LIBRARY","pkg:deb",,"libpcre2-8-0","10.42-4ubuntu2"
"LIBRARY","pkg:deb",,"libpng16-16t64","1.6.43-5build1"
"LIBRARY","pkg:deb",,"libproc2-0","2:4.0.4-4ubuntu3.2"
"LIBRARY","pkg:deb",,"libpsl5t64","0.21.2-1.1build1"
"LIBRARY","pkg:deb",,"libreadline8t64","8.2-4build1"
"LIBRARY","pkg:deb",,"librtmp1","2.4+20151223.gitfa8646d.1-2build7"
"LIBRARY","pkg:deb",,"libsasl2-2","2.1.28+dfsg1-5ubuntu3.1"
"LIBRARY","pkg:deb",,"libsasl2-modules-db","2.1.28+dfsg1-5ubuntu3.1"
"LIBRARY","pkg:deb",,"libseccomp2","2.5.5-1ubuntu3.1"
"LIBRARY","pkg:deb",,"libselinux1","3.5-2ubuntu2"
"LIBRARY","pkg:deb",,"libsemanage-common","3.5-1build5"
"LIBRARY","pkg:deb",,"libsemanage2","3.5-1build5"
"LIBRARY","pkg:deb",,"libsepol2","3.5-2build1"
"LIBRARY","pkg:deb",,"libsmartcols1","2.39.3-9ubuntu6.1"
"LIBRARY","pkg:deb",,"libsqlite3-0","3.45.1-1ubuntu2"
